,交響樂團式最高管理層,人才數據,從職業到經歷,福利,超連通工作場所,新的獎酬機制,公民身份與社會影響,人工智慧與機器人技術與自動化,長壽紅利,工作場所生態系統
拉丁美洲與南美,10151,9764,9653,9764,9465,9443,8967,7793,8280,8015
北美,9387,9410,8922,8734,9365,7871,8424,7140,6609,5956
非洲,9830,9886,9376,9742,9410,9476,9609,7826,8103,7882
中東歐,9022,9011,8889,8314,8059,8280,7041,7417,6432,6753
中東,9232,9564,9000,9387,8845,9410,8480,8247,7804,7782
北歐,8867,938,9011,9221,9332,6509,7505,9188,7063,6421
西歐,8513,8546,8834,8867,8734,7727,7970,7660,7660,6653
亞洲,10029,9974,10140,10140,9255,9686,9188,9310,8469,8469
大洋洲,9775,9476,9664,9587,9852,7262,9166,8103,7384,6808
消費產業,9564,9498,9288,9232,8756,8823,8480,7660,7494,7196
能源和資源,9255,9288,9221,9443,8845,8336,8911,8380,8181,7384
金融服務,9476,9874,9531,9343,9410,8767,8734,8933,7505,7118
生命科學,9476,9410,9166,9443,8900,8236,8933,8092,7749,6476
製造業,9398,8989,8989,9144,8236,8601,8092,8380,7860,6742
專業服務,9553,9299,9354,9243,9542,8779,8280,7860,7417,8081
公共部門,8535,8701,8701,8823,8524,7284,8601,6188,7716,6520
房地產,9144,8756,9531,9753,8978,9033,7760,7218,8424,7328
技術與媒體和電信,9675,9941,9841,9576,9963,8878,8402,8524,7273,7672
大型企業10001人以上,9310,9775,9443,9365,9376,8136,9044,9122,7694,7162
中型企業1001到10000,9432,9564,9365,9288,8978,8502,8535,8081,7660,6963
小型企業1000或更少,9443,9100,9210,9277,9022,8801,8159,7461,7616,7439
